age,sex,educ,income,eastwest,happiness,health,lived_abroad
47,Female,3,1800,East,h9,3,No
52,Male,3,2000,East,h8,3,No
61,Male,2,2500,West,h9,4,No
49,Male,3,2500,West,h7,5,No
75,Female,3,750,West,h9,4,No
59,Male,5,4500,East,h8,4,No
65,Male,3,880,East,h5,3,No
61,Female,2,3000,West,h10,4,Yes
76,Male,2,950,East,h10,3,No
23,Male,2,1200,West,h10,3,No
65,Male,2,3300,West,h9,3,No
54,Male,3,1500,East,h6,3,Yes
76,Male,5,1600,East,h10,5,No
23,Male,3,1800,West,h8,4,No
36,Male,3,2125,West,h9,5,No
34,Female,3,350,West,h9,5,Yes
52,Female,4,2400,West,h9,5,Yes
63,Male,3,1050,East,h8,2,No
61,Male,2,2375,West,h8,5,No
19,Male,3,875,West,h9,5,No
27,Male,5,1500,East,h9,5,No
53,Male,3,1000,East,h6,4,No
25,Male,3,1300,West,h8,3,No
40,Female,5,1390,West,h9,5,Yes
71,Male,4,460,West,h6,3,Yes
31,Male,4,2375,East,h9,5,No
48,Male,5,3500,West,h8,4,Yes
43,Male,3,1800,West,h4,4,No
24,Male,5,700,West,h9,5,Yes
48,Male,5,6250,West,h5,2,No
27,Male,3,1579,West,h8,5,No
41,Female,3,1100,West,h10,5,No
39,Male,3,1500,East,h3,4,No
78,Male,2,4500,West,h10,5,No
66,Female,5,2000,West,h8,3,No
40,Female,4,1625,East,h8,5,No
29,Male,5,2400,West,h9,5,No
48,Male,5,4000,West,h7,1,Yes
40,Male,3,1400,East,h4,3,No
53,Male,4,1875,West,h9,3,No
42,Male,3,1100,West,h9,3,No
47,Male,2,2700,West,h8,3,No
31,Male,5,2200,West,h7,3,Yes
88,Male,5,3000,West,h3,4,No
35,Male,3,1650,East,h8,4,No
66,Female,5,650,West,h10,5,No
76,Male,2,1000,East,h9,2,No
67,Male,5,860,East,h6,3,Yes
68,Female,2,400,West,h9,4,No
25,Male,3,1500,West,h10,4,No
59,Male,5,3500,West,h9,3,Yes
40,Female,3,1300,West,h9,3,No
30,Female,5,1520,East,h9,5,No
62,Female,2,600,West,h8,3,No
26,Male,5,2000,East,h9,4,No
54,Female,3,714,West,h3,3,No
69,Male,5,700,East,h6,4,Yes
28,Male,5,3000,East,h8,5,No
83,Male,2,1050,West,h10,3,No
56,Female,3,1063,West,h10,3,No
65,Female,3,800,East,h4,3,No
80,Female,2,265,West,h8,1,No
28,Female,4,1800,West,h9,5,No
51,Male,2,1900,West,h8,3,No
66,Female,2,600,West,h8,4,No
58,Male,2,1650,West,h8,3,No
73,Male,2,1063,East,h5,4,No
56,Female,3,940,East,h4,2,No
82,Female,5,1600,East,h8,3,No
47,Female,3,1000,East,h7,3,No
59,Female,3,1100,West,h9,4,No
21,Female,5,710,West,h8,3,Yes
48,Female,5,1600,West,h5,3,Yes
62,Female,4,900,East,h8,3,No
88,Female,2,1000,East,h8,3,No
54,Female,3,2100,East,h7,2,Yes
35,Male,2,4000,West,h8,3,No
69,Male,3,1000,East,h9,3,No
62,Female,3,688,West,h8,4,No
49,Female,3,700,East,h8,4,No
37,Female,5,1600,East,h8,4,No
52,Female,5,1750,West,h8,5,No
31,Male,5,2000,West,h6,4,Yes
67,Female,5,3000,West,h9,5,Yes
48,Male,2,3000,West,h9,4,No
44,Female,4,1625,East,h5,4,No
44,Male,5,6250,East,h9,4,No
76,Female,2,1500,East,h9,3,No
51,Male,2,1500,West,h10,5,Yes
46,Female,3,1200,West,h9,3,No
66,Female,3,1400,West,h8,4,No
46,Female,3,995,East,h10,3,No
61,Female,3,1875,West,h9,4,No
66,Male,2,1800,West,h8,3,No
55,Male,3,2300,West,h8,5,Yes
33,Female,5,2000,East,h9,4,No
78,Female,3,1000,East,h5,3,No
41,Female,5,1650,East,h8,4,No
33,Female,3,2060,East,h8,4,No
41,Female,4,1300,East,h7,5,No
33,Male,2,2100,West,h2,3,No
38,Male,3,4200,West,h7,3,No
48,Male,5,4000,West,h8,4,No
26,Male,5,1600,West,h10,5,No
33,Female,4,2300,West,h9,5,No
62,Male,2,8750,West,h10,4,Yes
58,Female,5,1500,East,h10,2,No
50,Female,3,750,West,h8,3,No
18,Male,5,400,West,h9,3,No
38,Female,3,2170,East,h9,3,No
54,Male,3,2875,East,h8,4,No
52,Female,3,480,West,h4,1,No
34,Female,5,2000,West,h8,4,No
52,Male,5,4800,West,h10,5,No
40,Male,5,3600,East,h8,3,No
60,Male,3,320,East,h6,3,No
51,Male,3,850,East,h3,3,No
60,Female,5,4500,East,h9,4,Yes
70,Female,5,1100,West,h9,5,Yes
64,Male,4,688,East,h8,5,No
64,Female,3,1000,East,h9,3,No
41,Female,3,1850,West,h9,4,No
