,age,sex,educ,inc,eastwest,happiness,health,lived_abroad,spectrum,spectrum_cat
0,47,Frau,3,1800,Ost,9,3,Nein,1,Links
1,52,Mann,3,2000,Ost,8,3,Nein,5,MitteRechts
2,61,Mann,2,2500,West,9,4,Nein,6,MitteRechts
3,54,Frau,2,860,West,3,2,Ja,1,Links
4,49,Mann,3,2500,West,7,5,Nein,6,MitteRechts
5,75,Frau,3,750,West,9,4,Nein,6,MitteRechts
6,59,Mann,5,4500,Ost,8,4,Nein,6,MitteRechts
7,65,Mann,3,880,Ost,5,3,Nein,9,Rechts
8,61,Frau,2,3000,West,10,4,Ja,3,MitteLinks
9,76,Mann,2,950,Ost,10,3,Nein,6,MitteRechts
10,23,Mann,2,1200,West,10,3,Nein,3,MitteLinks
11,65,Mann,2,3300,West,9,3,Nein,6,MitteRechts
12,54,Mann,3,1500,Ost,6,3,Ja,2,Links
13,76,Mann,5,1600,Ost,10,5,Nein,3,MitteLinks
14,23,Mann,3,1800,West,8,4,Nein,3,MitteLinks
15,36,Mann,3,2125,West,9,5,Nein,2,Links
16,34,Frau,3,350,West,9,5,Ja,3,MitteLinks
17,52,Frau,4,2400,West,9,5,Ja,6,MitteRechts
18,63,Mann,3,1050,Ost,8,2,Nein,3,MitteLinks
19,61,Mann,2,2375,West,8,5,Nein,1,Links
20,19,Mann,3,875,West,9,5,Nein,9,Rechts
21,27,Mann,5,1500,Ost,9,5,Nein,3,MitteLinks
22,53,Mann,3,1000,Ost,6,4,Nein,9,Rechts
23,25,Mann,3,1300,West,8,3,Nein,6,MitteRechts
24,40,Frau,5,1390,West,9,5,Ja,5,MitteRechts
25,71,Mann,4,460,West,6,3,Ja,6,MitteRechts
26,31,Mann,4,2375,Ost,9,5,Nein,5,MitteRechts
27,48,Mann,5,3500,West,8,4,Ja,6,MitteRechts
28,66,Frau,2,850,West,9,3,Nein,3,MitteLinks
29,43,Mann,3,1800,West,4,4,Nein,9,Rechts
30,24,Mann,5,700,West,9,5,Ja,6,MitteRechts
