speed,survived,airbag,seatbelt,frontal,sex,ageOcc,yearAcc,yearVeh,airbagDeployed,roleOcc,injSeverity
25-39,alive,unavail,belted,yes,F,26,1997,1990,unavail,driver,3
10-24,alive,avail,belted,yes,F,72,1997,1995,deploy,driver,1
10-24,alive,unavail,not belted,yes,F,69,1997,1988,unavail,driver,4
25-39,alive,avail,belted,yes,F,53,1997,1995,deploy,driver,1
25-39,alive,unavail,belted,yes,F,32,1997,1988,unavail,driver,3
40-54,alive,unavail,belted,yes,F,22,1997,1985,unavail,driver,3
55+,alive,unavail,belted,yes,M,22,1997,1984,unavail,driver,3
55+,dead,unavail,not belted,yes,M,32,1997,1987,unavail,driver,4
10-24,alive,unavail,belted,no,M,40,1997,1984,unavail,driver,1
10-24,alive,unavail,belted,yes,F,18,1997,1987,unavail,driver,0
10-24,alive,unavail,belted,yes,M,21,1997,1987,unavail,pass,0
10-24,alive,unavail,belted,no,F,69,1997,1982,unavail,driver,1
10-24,alive,avail,belted,yes,M,67,1997,1991,deploy,driver,1
25-39,dead,avail,belted,no,F,54,1997,1994,nodeploy,driver,4
25-39,alive,unavail,belted,no,F,37,1997,1991,unavail,driver,1
25-39,alive,unavail,belted,yes,M,71,1997,1990,unavail,driver,1
25-39,alive,unavail,belted,yes,F,63,1997,1990,unavail,pass,3
10-24,alive,unavail,not belted,no,F,23,1997,1986,unavail,driver,3
10-24,alive,avail,belted,no,M,33,1997,1995,nodeploy,driver,0
10-24,alive,avail,belted,no,M,17,1997,1995,nodeploy,pass,0
10-24,alive,avail,not belted,yes,F,20,1997,1995,deploy,driver,1
10-24,alive,unavail,belted,no,F,22,1997,1987,unavail,driver,0
10-24,alive,unavail,not belted,no,M,45,1997,1989,unavail,driver,0
10-24,alive,unavail,not belted,no,M,36,1997,1989,unavail,pass,1
10-24,alive,avail,belted,yes,F,23,1997,1995,deploy,driver,1
10-24,alive,unavail,not belted,yes,F,19,1997,1989,unavail,driver,1
10-24,alive,unavail,belted,no,M,26,1997,1986,unavail,driver,0
10-24,alive,unavail,belted,yes,F,41,1997,1990,unavail,driver,0
40-54,alive,unavail,belted,yes,F,18,1997,1987,unavail,driver,1
40-54,alive,unavail,not belted,yes,M,30,1997,1987,unavail,pass,3
10-24,alive,avail,belted,yes,F,26,1997,1992,deploy,driver,1
1-9km/h,alive,unavail,belted,yes,M,16,1997,1988,unavail,driver,0
1-9km/h,alive,unavail,belted,yes,M,17,1997,1988,unavail,pass,0
10-24,alive,avail,belted,no,M,20,1997,1990,nodeploy,driver,0
10-24,alive,avail,belted,no,F,17,1997,1990,nodeploy,pass,0
25-39,alive,unavail,not belted,yes,M,32,1997,1993,unavail,driver,3
25-39,alive,avail,not belted,yes,F,19,1997,1993,deploy,driver,2
25-39,alive,avail,belted,no,F,52,1997,1995,nodeploy,driver,1
10-24,alive,unavail,belted,yes,F,64,1997,1992,unavail,driver,2
10-24,alive,unavail,belted,yes,F,19,1997,1984,unavail,driver,2
10-24,alive,unavail,belted,yes,M,36,1997,1988,unavail,driver,2
10-24,alive,avail,belted,no,M,23,1997,1993,nodeploy,driver,1
55+,alive,unavail,not belted,yes,M,76,1997,1984,unavail,driver,3
10-24,alive,avail,belted,yes,M,32,1997,1995,deploy,driver,0
10-24,alive,unavail,belted,no,M,21,1997,1987,unavail,driver,1
10-24,alive,unavail,belted,no,M,25,1997,1987,unavail,pass,0
10-24,alive,avail,belted,no,F,37,1997,1992,nodeploy,driver,1
10-24,alive,avail,not belted,no,F,16,1997,1992,nodeploy,pass,0
10-24,alive,unavail,belted,no,F,24,1997,1977,unavail,driver,1
10-24,alive,unavail,belted,yes,M,39,1997,1987,unavail,driver,0
10-24,alive,unavail,belted,yes,M,18,1997,1985,unavail,driver,0
40-54,alive,unavail,belted,yes,F,64,1997,1991,unavail,driver,3
40-54,alive,unavail,belted,yes,M,22,1997,1984,unavail,driver,1
40-54,alive,unavail,belted,yes,M,27,1997,1968,unavail,driver,0
25-39,alive,unavail,belted,yes,M,18,1997,1977,unavail,driver,0
55+,alive,unavail,belted,no,F,20,1997,1986,unavail,driver,3
25-39,alive,avail,not belted,yes,M,74,1997,1993,deploy,driver,3
1-9km/h,alive,avail,not belted,no,F,17,1997,1996,nodeploy,driver,0
1-9km/h,alive,avail,not belted,no,F,16,1997,1996,nodeploy,pass,0
25-39,alive,avail,not belted,no,F,20,1997,1996,nodeploy,driver,3
25-39,alive,avail,not belted,no,M,19,1997,1996,nodeploy,pass,2
25-39,alive,unavail,not belted,yes,M,26,1997,1983,unavail,driver,3
10-24,alive,avail,belted,yes,M,32,1997,1995,nodeploy,driver,0
25-39,alive,unavail,not belted,no,F,78,1997,1986,unavail,driver,3
25-39,alive,unavail,belted,yes,M,40,1997,1985,unavail,driver,0
25-39,alive,unavail,belted,yes,F,36,1997,1985,unavail,pass,0
10-24,alive,unavail,not belted,yes,M,76,1997,1989,unavail,driver,5
10-24,alive,unavail,not belted,no,F,55,1997,1983,unavail,driver,1
10-24,alive,unavail,belted,yes,M,45,1997,1986,unavail,driver,0
10-24,alive,unavail,belted,no,F,20,1997,1992,unavail,driver,1
10-24,alive,unavail,belted,no,F,43,1997,1992,unavail,pass,1
25-39,alive,unavail,belted,yes,M,21,1997,1994,unavail,driver,0
10-24,alive,unavail,belted,yes,M,44,1997,1988,unavail,driver,0
10-24,alive,unavail,belted,yes,F,62,1997,1988,unavail,pass,0
25-39,alive,avail,belted,no,F,20,1997,1997,deploy,driver,3
