Pclass,Age,SibSp,Fare
3,22.0,1,7.25
1,38.0,1,71.2833
3,26.0,0,7.925
1,35.0,1,53.1
3,35.0,0,8.05
3,29.7,0,8.4583
1,54.0,0,51.8625
3,2.0,3,21.075
3,27.0,0,11.1333
2,14.0,1,30.0708
3,4.0,1,16.7
1,58.0,0,26.55
3,20.0,0,8.05
3,39.0,1,31.275
3,14.0,0,7.8542
2,55.0,0,16.0
3,2.0,4,29.125
2,29.7,0,13.0
3,31.0,1,18.0
3,29.7,0,7.225
2,35.0,0,26.0
2,34.0,0,13.0
3,15.0,0,8.0292
1,28.0,0,35.5
3,8.0,3,21.075
3,38.0,1,31.3875
3,29.7,0,7.225
1,19.0,3,263.0
3,29.7,0,7.8792
3,29.7,0,7.8958
1,40.0,0,27.7208
1,29.7,1,146.5208
3,29.7,0,7.75
2,66.0,0,10.5
1,28.0,1,82.1708
1,42.0,1,52.0
3,29.7,0,7.2292
3,21.0,0,8.05
3,18.0,2,18.0
3,14.0,1,11.2417
3,40.0,1,9.475
2,27.0,1,21.0
3,29.7,0,7.8958
2,3.0,1,41.5792
3,19.0,0,7.8792
3,29.7,0,8.05
3,29.7,1,15.5
3,29.7,0,7.75
3,29.7,2,21.6792
3,18.0,1,17.8
3,7.0,4,39.6875
3,21.0,0,7.8
1,49.0,1,76.7292
2,29.0,1,26.0
1,65.0,0,61.9792
1,29.7,0,35.5
2,21.0,0,10.5
3,28.5,0,7.2292
2,5.0,1,27.75
3,11.0,5,46.9
3,22.0,0,7.2292
1,45.0,1,83.475
3,4.0,3,27.9
1,29.7,0,27.7208
3,29.7,1,15.2458
2,29.0,0,10.5
3,19.0,0,8.1583
3,17.0,4,7.925
3,26.0,2,8.6625
2,32.0,0,10.5
3,16.0,5,46.9
2,21.0,0,73.5
3,26.0,1,14.4542
3,32.0,0,56.4958
3,25.0,0,7.65
3,29.7,0,7.8958
3,29.7,0,8.05
2,0.8,0,29.0
3,30.0,0,12.475
3,22.0,0,9.0
3,29.0,0,9.5
3,29.7,0,7.7875
1,28.0,0,47.1
2,17.0,0,10.5
3,33.0,3,15.85
3,16.0,1,34.375
3,29.7,0,8.05
1,23.0,3,263.0
3,24.0,0,8.05
3,29.0,0,8.05
3,20.0,0,7.8542
1,46.0,1,61.175
3,26.0,1,20.575
3,59.0,0,7.25
3,29.7,0,8.05
1,71.0,0,34.6542
1,23.0,0,63.3583
2,34.0,0,23.0
2,34.0,1,26.0
3,28.0,0,7.8958
3,29.7,0,7.8958
1,21.0,0,77.2875
3,33.0,0,8.6542
3,37.0,2,7.925
3,28.0,0,7.8958
3,21.0,0,7.65
3,29.7,0,7.775
3,38.0,0,7.8958
3,29.7,1,24.15
1,47.0,0,52.0
3,14.5,1,14.4542
3,22.0,0,8.05
3,20.0,1,9.825
3,17.0,0,14.4583
3,21.0,0,7.925
3,70.5,0,7.75
2,29.0,1,21.0
1,24.0,0,247.5208
3,2.0,4,31.275
2,21.0,2,73.5
3,29.7,0,8.05
2,32.5,1,30.0708
2,32.5,0,13.0
1,54.0,0,77.2875
3,12.0,1,11.2417
3,29.7,0,7.75
3,24.0,0,7.1417
3,29.7,1,22.3583
3,45.0,0,6.975
3,33.0,0,7.8958
3,20.0,0,7.05
3,47.0,1,14.5
2,29.0,1,26.0
2,25.0,0,13.0
2,23.0,0,15.0458
1,19.0,0,26.2833
1,37.0,1,53.1
3,16.0,0,9.2167
1,24.0,0,79.2
3,29.7,0,15.2458
3,22.0,0,7.75
3,24.0,1,15.85
3,19.0,0,6.75
2,18.0,0,11.5
2,19.0,1,36.75
3,27.0,0,7.7958
3,9.0,2,34.375
2,36.5,0,26.0
2,42.0,0,13.0
2,51.0,0,12.525
1,22.0,1,66.6
3,55.5,0,8.05
3,40.5,0,14.5
3,29.7,0,7.3125
1,51.0,0,61.3792
3,16.0,0,7.7333
3,30.0,0,8.05
3,29.7,0,8.6625
3,29.7,8,69.55
3,44.0,0,16.1
2,40.0,0,15.75
3,26.0,0,7.775
3,17.0,0,8.6625
3,1.0,4,39.6875
3,9.0,0,20.525
1,29.7,0,55.0
3,45.0,1,27.9
1,29.7,0,25.925
3,28.0,0,56.4958
1,61.0,0,33.5
3,4.0,4,29.125
3,1.0,1,11.1333
3,21.0,0,7.925
1,56.0,0,30.6958
3,18.0,1,7.8542
3,29.7,3,25.4667
1,50.0,0,28.7125
2,30.0,0,13.0
3,36.0,0,0.0
3,29.7,8,69.55
2,29.7,0,15.05
3,9.0,4,31.3875
2,1.0,2,39.0
3,4.0,0,22.025
1,29.7,0,50.0
3,29.7,1,15.5
1,45.0,0,26.55
3,40.0,1,15.5
3,36.0,0,7.8958
2,32.0,0,13.0
2,19.0,0,13.0
3,19.0,1,7.8542
2,3.0,1,26.0
1,44.0,0,27.7208
1,58.0,0,146.5208
3,29.7,0,7.75
3,42.0,0,8.4042
3,29.7,0,7.75
2,24.0,0,13.0
3,28.0,0,9.5
3,29.7,8,69.55
3,34.0,0,6.4958
3,45.5,0,7.225
3,18.0,0,8.05
3,2.0,0,10.4625
3,32.0,1,15.85
3,26.0,0,18.7875
3,16.0,0,7.75
1,40.0,0,31.0
3,24.0,0,7.05
2,35.0,0,21.0
3,22.0,0,7.25
2,30.0,0,13.0
3,29.7,1,7.75
1,31.0,1,113.275
3,27.0,0,7.925
2,42.0,1,27.0
1,32.0,0,76.2917
2,30.0,0,10.5
3,16.0,0,8.05
2,27.0,0,13.0
3,51.0,0,8.05
3,29.7,0,7.8958
1,38.0,1,90.0
3,22.0,0,9.35
2,19.0,0,10.5
3,20.5,0,7.25
2,18.0,0,13.0
3,29.7,3,25.4667
1,35.0,1,83.475
3,29.0,0,7.775
2,59.0,0,13.5
3,5.0,4,31.3875
2,24.0,0,10.5
3,29.7,0,7.55
2,44.0,1,26.0
2,8.0,0,26.25
2,19.0,0,10.5
2,33.0,0,12.275
3,29.7,1,14.4542
3,29.7,1,15.5
2,29.0,0,10.5
3,22.0,0,7.125
3,30.0,0,7.225
1,44.0,2,90.0
3,25.0,0,7.775
2,24.0,0,14.5
1,37.0,1,52.5542
2,54.0,1,26.0
3,29.7,0,7.25
3,29.0,1,10.4625
1,62.0,0,26.55
3,30.0,1,16.1
3,41.0,0,20.2125
3,29.0,0,15.2458
1,29.7,0,79.2
1,30.0,0,86.5
1,35.0,0,512.3292
2,50.0,0,26.0
3,29.7,0,7.75
3,3.0,4,31.3875
1,52.0,1,79.65
1,40.0,0,0.0
3,29.7,0,7.75
2,36.0,0,10.5
3,16.0,4,39.6875
3,25.0,1,7.775
1,58.0,0,153.4625
1,35.0,0,135.6333
1,29.7,0,31.0
3,25.0,0,0.0
2,41.0,0,19.5
1,37.0,0,29.7
3,29.7,0,7.75
1,63.0,1,77.9583
3,45.0,0,7.75
2,29.7,0,0.0
3,7.0,4,29.125
3,35.0,1,20.25
3,65.0,0,7.75
3,28.0,0,7.8542
3,16.0,0,9.5
3,19.0,0,8.05
1,29.7,0,26.0
3,33.0,0,8.6625
3,30.0,0,9.5
3,22.0,0,7.8958
2,42.0,0,13.0
3,22.0,0,7.75
1,26.0,0,78.85
1,19.0,1,91.0792
2,36.0,0,12.875
3,24.0,0,8.85
3,24.0,0,7.8958
1,29.7,0,27.7208
3,23.5,0,7.2292
1,2.0,1,151.55
1,29.7,0,30.5
1,50.0,0,247.5208
3,29.7,0,7.75
3,29.7,2,23.25
3,19.0,0,0.0
2,29.7,0,12.35
3,29.7,0,8.05
1,0.9,1,151.55
1,29.7,0,110.8833
1,17.0,1,108.9
2,30.0,1,24.0
1,30.0,0,56.9292
1,24.0,0,83.1583
1,18.0,2,262.375
2,26.0,1,26.0
3,28.0,0,7.8958
2,43.0,1,26.25
3,26.0,0,7.8542
