Survived,Pclass,Sex,Age,Fare,Embarked
No,Third,male,22.0,7.25,S
Yes,First,female,38.0,71.2833,C
Yes,Third,female,26.0,7.925,S
Yes,First,female,35.0,53.1,S
No,Third,male,35.0,8.05,S
No,Third,male,29.7,8.4583,Q
No,First,male,54.0,51.8625,S
No,Third,male,2.0,21.075,S
Yes,Third,female,27.0,11.1333,S
Yes,Second,female,14.0,30.0708,C
Yes,Third,female,4.0,16.7,S
Yes,First,female,58.0,26.55,S
No,Third,male,20.0,8.05,S
No,Third,male,39.0,31.275,S
No,Third,female,14.0,7.8542,S
Yes,Second,female,55.0,16.0,S
No,Third,male,2.0,29.125,Q
Yes,Second,male,29.7,13.0,S
No,Third,female,31.0,18.0,S
Yes,Third,female,29.7,7.225,C
No,Second,male,35.0,26.0,S
Yes,Second,male,34.0,13.0,S
Yes,Third,female,15.0,8.0292,Q
Yes,First,male,28.0,35.5,S
No,Third,female,8.0,21.075,S
Yes,Third,female,38.0,31.3875,S
No,Third,male,29.7,7.225,C
No,First,male,19.0,263.0,S
Yes,Third,female,29.7,7.8792,Q
No,Third,male,29.7,7.8958,S
No,First,male,40.0,27.7208,C
Yes,First,female,29.7,146.5208,C
Yes,Third,female,29.7,7.75,Q
No,Second,male,66.0,10.5,S
No,First,male,28.0,82.1708,C
No,First,male,42.0,52.0,S
Yes,Third,male,29.7,7.2292,C
No,Third,male,21.0,8.05,S
No,Third,female,18.0,18.0,S
Yes,Third,female,14.0,11.2417,C
No,Third,female,40.0,9.475,S
No,Second,female,27.0,21.0,S
No,Third,male,29.7,7.8958,C
Yes,Second,female,3.0,41.5792,C
Yes,Third,female,19.0,7.8792,Q
No,Third,male,29.7,8.05,S
No,Third,male,29.7,15.5,Q
Yes,Third,female,29.7,7.75,Q
No,Third,male,29.7,21.6792,C
No,Third,female,18.0,17.8,S
No,Third,male,7.0,39.6875,S
No,Third,male,21.0,7.8,S
Yes,First,female,49.0,76.7292,C
Yes,Second,female,29.0,26.0,S
No,First,male,65.0,61.9792,C
Yes,First,male,29.7,35.5,S
Yes,Second,female,21.0,10.5,S
No,Third,male,28.5,7.2292,C
Yes,Second,female,5.0,27.75,S
No,Third,male,11.0,46.9,S
No,Third,male,22.0,7.2292,C
No,First,male,45.0,83.475,S
No,Third,male,4.0,27.9,S
No,First,male,29.7,27.7208,C
Yes,Third,male,29.7,15.2458,C
Yes,Second,female,29.0,10.5,S
No,Third,male,19.0,8.1583,S
Yes,Third,female,17.0,7.925,S
No,Third,male,26.0,8.6625,S
No,Second,male,32.0,10.5,S
No,Third,female,16.0,46.9,S
No,Second,male,21.0,73.5,S
No,Third,male,26.0,14.4542,C
Yes,Third,male,32.0,56.4958,S
No,Third,male,25.0,7.65,S
No,Third,male,29.7,7.8958,S
No,Third,male,29.7,8.05,S
Yes,Second,male,0.8,29.0,S
Yes,Third,female,30.0,12.475,S
No,Third,male,22.0,9.0,S
Yes,Third,male,29.0,9.5,S
Yes,Third,female,29.7,7.7875,Q
No,First,male,28.0,47.1,S
Yes,Second,female,17.0,10.5,S
Yes,Third,female,33.0,15.85,S
No,Third,male,16.0,34.375,S
No,Third,male,29.7,8.05,S
Yes,First,female,23.0,263.0,S
No,Third,male,24.0,8.05,S
No,Third,male,29.0,8.05,S
No,Third,male,20.0,7.8542,S
No,First,male,46.0,61.175,S
No,Third,male,26.0,20.575,S
No,Third,male,59.0,7.25,S
No,Third,male,29.7,8.05,S
No,First,male,71.0,34.6542,C
Yes,First,male,23.0,63.3583,C
Yes,Second,female,34.0,23.0,S
No,Second,male,34.0,26.0,S
No,Third,female,28.0,7.8958,S
No,Third,male,29.7,7.8958,S
No,First,male,21.0,77.2875,S
No,Third,male,33.0,8.6542,S
No,Third,male,37.0,7.925,S
No,Third,male,28.0,7.8958,S
Yes,Third,female,21.0,7.65,S
Yes,Third,male,29.7,7.775,S
No,Third,male,38.0,7.8958,S
Yes,Third,female,29.7,24.15,Q
No,First,male,47.0,52.0,S
No,Third,female,14.5,14.4542,C
No,Third,male,22.0,8.05,S
No,Third,female,20.0,9.825,S
No,Third,female,17.0,14.4583,C
No,Third,male,21.0,7.925,S
No,Third,male,70.5,7.75,Q
No,Second,male,29.0,21.0,S
No,First,male,24.0,247.5208,C
No,Third,female,2.0,31.275,S
