Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;1;Gemeinde;40534;41724;7590;5220;40867
1;1;Stadtkreis/kreisfreie Stadt/Landkreis;40534;41724;7590;5220;40867
1;2;Gemeinde;113505;122277;18772;17368;97355
1;2;Stadtkreis/kreisfreie Stadt/Landkreis;113505;122277;18772;17368;97355
1;3;Gemeinde;99832;110473;22059;17793;101500
1;3;Stadtkreis/kreisfreie Stadt/Landkreis;99832;110473;22059;17793;101500
1;4;Gemeinde;37710;39539;7432;5019;38356
1;4;Stadtkreis/kreisfreie Stadt/Landkreis;37710;39539;7432;5019;38356
1;51;Stadtkreis/kreisfreie Stadt/Landkreis;65528;68372;13381;5975;86458
1;51;Gemeinde;6363;6471;1220;767;7268
1;51;Gemeinde;9787;10981;2215;1345;11704
1;51;Gemeindeverband;8037;8280;1466;576;10907
1;51;Gemeinde;307;307;50;19;417
1;51;Gemeinde;100;108;13;0;151
1;51;Gemeinde;556;525;66;34;771
1;51;Gemeinde;2020;2199;467;216;2593
1;51;Gemeinde;335;325;50;21;478
1;51;Gemeinde;692;707;105;36;985
1;51;Gemeinde;386;386;70;12;567
1;51;Gemeinde;190;184;40;6;271
1;51;Gemeinde;238;253;39;44;330
1;51;Gemeinde;572;621;92;30;735
1;51;Gemeinde;337;300;44;10;386
1;51;Gemeinde;99;101;18;0;130
1;51;Gemeinde;1790;1828;325;136;2461
1;51;Gemeinde;415;436;87;12;632
1;51;Gemeindeverband;6477;6738;1405;553;8966
1;51;Gemeinde;396;367;59;21;539
1;51;Gemeinde;1211;1281;294;108;1710
1;51;Gemeinde;457;453;59;36;609
1;51;Gemeinde;177;173;33;18;229
1;51;Gemeinde;422;420;64;36;589
1;51;Gemeinde;2701;3026;730;250;3882
1;51;Gemeinde;205;197;28;18;282
1;51;Gemeinde;324;293;53;25;381
1;51;Gemeinde;67;66;3;9;87
1;51;Gemeinde;91;72;7;3;100
1;51;Gemeinde;104;96;21;6;137
1;51;Gemeinde;135;123;22;7;194
1;51;Gemeinde;187;171;32;16;227
1;51;Gemeindeverband;9500;9445;1739;641;13239
1;51;Gemeinde;101;70;12;9;98
1;51;Gemeinde;12;22;3;0;24
1;51;Gemeinde;399;376;61;18;566
1;51;Gemeinde;365;348;84;20;521
1;51;Gemeinde;310;312;44;24;463
1;51;Gemeinde;135;140;9;9;209
1;51;Gemeinde;90;93;14;12;119
1;51;Gemeinde;64;55;16;3;76
1;51;Gemeinde;57;34;6;9;58
1;51;Gemeinde;264;253;38;37;347
1;51;Gemeinde;987;966;223;58;1315
1;51;Gemeinde;37;32;3;0;50
1;51;Gemeinde;160;160;15;3;253
1;51;Gemeinde;76;63;7;0;100
1;51;Gemeinde;219;220;28;12;287
1;51;Gemeinde;309;306;38;29;431
1;51;Gemeinde;525;554;135;25;778
1;51;Gemeinde;435;435;56;30;570
1;51;Gemeinde;863;858;226;90;1168
1;51;Gemeinde;72;72;9;6;88
1;51;Gemeinde;603;607;94;29;902
1;51;Gemeinde;272;267;49;21;392
1;51;Gemeinde;177;153;28;18;256
1;51;Gemeinde;291;306;52;23;390
1;51;Gemeinde;116;110;28;3;170
1;51;Gemeinde;1283;1341;243;82;1797
1;51;Gemeinde;78;80;22;0;100
1;51;Gemeinde;16;18;7;3;19
1;51;Gemeinde;225;243;27;22;293
1;51;Gemeinde;57;53;11;3;91
1;51;Gemeinde;82;79;17;3;124
1;51;Gemeinde;351;329;64;24;468
1;51;Gemeinde;183;196;35;3;310
1;51;Gemeinde;286;294;35;13;406
1;51;Gemeindeverband;7833;8016;1450;669;10491
1;51;Gemeinde;1447;1441;255;123;1950
1;51;Gemeinde;184;233;96;12;249
1;51;Gemeinde;966;1075;234;97;1297
1;51;Gemeinde;531;504;72;42;664
1;51;Gemeinde;148;135;24;15;193
1;51;Gemeinde;1369;1361;194;126;1832
1;51;Gemeinde;463;484;93;33;600
1;51;Gemeinde;223;247;67;18;325
1;51;Gemeinde;660;667;106;34;910
1;51;Gemeinde;1140;1171;185;100;1550
1;51;Gemeinde;702;698;124;69;921
1;51;Gemeindeverband;11546;11898;2281;738;15994
1;51;Gemeinde;1707;1825;384;124;2290
1;51;Gemeinde;119;109;23;6;158
1;51;Gemeinde;436;483;147;9;665
1;51;Gemeinde;402;403;69;15;580
1;51;Gemeinde;406;412;45;24;538
1;51;Gemeinde;146;131;19;15;207
1;51;Gemeinde;448;435;71;18;584
1;51;Gemeinde;392;390;45;27;539
1;51;Gemeinde;205;203;21;16;297
1;51;Gemeinde;40;61;7;0;86
1;51;Gemeinde;258;269;53;19;387
1;51;Gemeinde;3500;3762;784;299;4817
1;51;Gemeinde;584;579;86;32;795
1;51;Gemeinde;162;160;33;12;208
1;51;Gemeinde;131;141;34;6;190
1;51;Gemeinde;224;214;36;9;304
1;51;Gemeinde;370;357;56;15;506
1;51;Gemeinde;688;677;139;39;941
1;51;Gemeinde;40;37;3;0;46
1;51;Gemeinde;40;51;15;3;73
1;51;Gemeinde;432;404;73;16;614
1;51;Gemeinde;168;162;25;3;247
1;51;Gemeinde;321;279;57;9;440
1;51;Gemeinde;327;354;56;22;482
1;51;Gemeindeverband;5985;6543;1605;686;7889
1;51;Gemeinde;2204;2592;783;332;2875
1;51;Gemeinde;167;189;43;20;217
1;51;Gemeinde;30;24;9;0;42
1;51;Gemeinde;109;132;30;9;164
1;51;Gemeinde;90;90;8;3;136
1;51;Gemeinde;38;30;7;4;49
1;51;Gemeinde;228;214;33;31;293
1;51;Gemeinde;126;118;21;19;165
1;51;Gemeinde;222;222;28;16;281
1;51;Gemeinde;245;225;42;34;299
1;51;Gemeinde;43;47;9;3;69
1;51;Gemeinde;228;246;27;21;289
1;51;Gemeinde;125;116;38;15;138
1;51;Gemeinde;1444;1600;397;102;2002
1;51;Gemeinde;64;71;9;9;89
1;51;Gemeinde;76;76;9;12;109
1;51;Gemeinde;411;426;75;50;512
1;51;Gemeinde;135;125;37;6;160
1;53;Stadtkreis/kreisfreie Stadt/Landkreis;90976;96162;17514;11277;92422
