transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
auto,4,small,1985,17.0,17.0,2.296
auto,4,small,1985,17.0,17.0,2.296
lock-up,6,small,1985,21.0,27.0,2.4436
lock-up,6,small,1985,18.0,24.0,2.6896
manual,6,small,1985,18.0,23.0,2.6896
lock-up,6,small,1985,15.0,20.0,3.4276
manual,6,small,1985,15.0,20.0,3.4276
lock-up,6,small,1985,15.0,20.0,3.4276
manual,6,small,1985,14.0,19.0,3.4276
lock-up,6,small,1985,21.0,27.0,2.4436
lock-up,6,small,1985,18.0,24.0,2.6896
manual,6,small,1985,18.0,23.0,2.6896
lock-up,6,small,1985,15.0,20.0,3.4276
manual,6,small,1985,15.0,20.0,3.4276
lock-up,6,small,1985,15.0,20.0,3.4276
manual,6,small,1985,14.0,19.0,3.4276
lock-up,6,small,1985,17.0,24.0,2.9684
lock-up,8,small,1985,15.0,21.0,5.0348
lock-up,4,small,1985,17.0,23.0,1.804
lock-up,4,small,1985,21.0,29.0,1.804
manual,4,small,1985,19.0,27.0,1.804
manual,4,small,1985,23.0,32.0,1.804
lock-up,4,small,1985,19.0,26.0,1.9844
manual,4,small,1985,22.0,29.0,1.9844
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
lock-up,6,small,1985,17.0,24.0,2.8372
manual,6,small,1985,15.0,21.0,2.8372
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
manual,4,small,1985,23.0,32.0,1.804
lock-up,4,small,1985,22.0,27.0,1.9844
manual,4,small,1985,23.0,32.0,1.9844
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
lock-up,6,small,1985,18.0,25.0,2.8372
manual,6,small,1985,17.0,24.0,2.8372
lock-up,6,small,1985,18.0,24.0,2.8372
lock-up,8,small,1985,15.0,20.0,5.0348
lock-up,4,small,1985,21.0,29.0,1.804
lock-up,4,small,1985,18.0,23.0,1.804
manual,4,small,1985,19.0,24.0,1.804
manual,6,small,1985,16.0,21.0,2.8372
lock-up,4,small,1985,21.0,29.0,2.4764
manual,4,small,1985,21.0,31.0,2.4764
lock-up,6,small,1985,18.0,24.0,2.9684
lock-up,6,small,1985,15.0,22.0,3.7884
lock-up,4,small,1985,19.0,26.0,1.9844
manual,4,small,1985,21.0,29.0,1.9844
lock-up,6,small,1985,17.0,24.0,2.8372
manual,6,small,1985,15.0,21.0,2.8372
lock-up,4,small,1985,22.0,27.0,1.9844
lock-up,6,small,1985,18.0,24.0,2.8372
manual,6,small,1985,16.0,21.0,2.8372
lock-up,8,small,1985,15.0,20.0,4.0836
manual,4,small,1985,21.0,30.0,1.9844
manual,4,small,1985,22.0,29.0,1.9844
manual,4,small,1985,21.0,29.0,1.9844
lock-up,6,small,1985,16.0,21.0,2.8372
manual,6,small,1985,15.0,21.0,2.8372
lock-up,4,small,1985,23.0,29.0,1.5908
manual,4,small,1985,26.0,33.0,1.5908
lock-up,4,small,1985,19.0,26.0,1.9844
lock-up,4,small,1985,22.0,27.0,1.9844
manual,4,small,1985,23.0,32.0,1.9844
manual,4,small,1985,21.0,30.0,1.9844
lock-up,6,small,1985,17.0,22.0,2.8372
manual,6,small,1985,16.0,21.0,2.8372
lock-up,4,small,1985,23.0,29.0,1.5908
manual,4,small,1985,26.0,33.0,1.5908
auto,4,small,1985,21.0,26.0,2.214
manual,4,small,1985,22.0,33.0,2.214
manual,4,small,1985,23.0,33.0,2.214
manual,4,small,1985,18.0,27.0,2.214
manual,4,small,1985,17.0,26.0,2.214
manual,4,small,1985,26.0,36.0,1.5908
