pclass,survived,sex,age,ticket,fare,embarked
0,1,0,29.0,99,211.3375,2
0,1,1,0.9167,25,151.55,2
0,1,1,48.0,78,26.55,2
0,1,0,63.0,53,77.9583,2
0,1,0,53.0,42,51.4792,2
0,1,0,18.0,299,227.525,0
0,1,0,24.0,274,69.3,0
0,1,0,26.0,73,78.85,2
0,1,1,80.0,138,30.0,2
0,1,0,50.0,278,247.5208,0
0,1,0,32.0,46,76.2917,0
0,0,1,36.0,49,75.2417,0
0,1,1,37.0,36,52.5542,2
0,1,0,47.0,36,52.5542,2
0,1,1,26.0,6,30.0,0
0,1,0,42.0,299,227.525,0
0,1,0,29.0,276,221.7792,2
0,1,1,25.0,47,91.0792,0
0,1,0,19.0,47,91.0792,0
0,1,0,35.0,302,135.6333,2
0,1,1,28.0,2,26.55,2
0,1,1,40.0,12,31.0,0
0,1,0,30.0,218,164.8667,2
0,1,0,58.0,26,26.55,2
0,1,0,45.0,293,262.375,0
0,1,0,22.0,18,55.0,2
0,1,1,29.881134512428304,8,26.55,2
0,1,0,44.0,294,27.7208,0
0,1,0,59.0,42,51.4792,2
0,1,0,60.0,46,76.2917,0
0,1,0,41.0,63,134.5,0
0,1,1,42.0,273,26.2875,2
0,1,0,53.0,291,27.4458,0
0,1,1,36.0,297,512.3292,0
0,1,0,58.0,297,512.3292,0
0,1,1,11.0,21,120.0,2
0,1,0,14.0,21,120.0,2
0,1,1,36.0,21,120.0,2
0,1,0,36.0,21,120.0,2
0,1,0,29.881134512428304,72,27.7208,0
0,1,0,76.0,73,78.85,2
0,1,0,47.0,332,61.175,2
0,1,1,27.0,35,53.1,2
0,1,0,33.0,35,53.1,2
0,1,0,36.0,293,262.375,0
0,1,0,30.0,0,86.5,2
0,1,1,45.0,284,29.7,0
0,1,0,29.881134512428304,18,55.0,2
0,1,0,26.0,55,136.7792,0
0,1,0,22.0,25,151.55,2
0,1,0,39.0,298,83.1583,0
0,1,0,64.0,298,83.1583,0
0,1,0,55.0,43,25.7,2
0,1,0,36.0,333,71.0,2
0,1,0,64.0,15,26.55,2
0,1,0,38.0,287,71.2833,0
0,1,1,51.0,16,26.55,2
0,1,1,27.0,34,30.5,2
0,1,0,33.0,25,151.55,2
0,1,0,27.0,263,52.0,2
0,1,1,31.0,70,57.0,2
0,1,0,17.0,70,57.0,2
0,1,1,53.0,171,81.8583,2
0,1,1,4.0,171,81.8583,2
0,1,0,54.0,171,81.8583,2
0,1,0,27.0,278,247.5208,0
0,1,0,48.0,303,106.425,0
0,1,0,48.0,39,39.6,0
0,1,1,49.0,277,56.9292,0
0,1,0,23.0,41,83.1583,0
0,1,0,38.0,299,227.525,0
0,1,0,54.0,219,78.2667,0
0,1,0,29.881134512428304,286,31.6833,2
0,1,0,29.881134512428304,65,110.8833,0
0,1,1,36.0,271,26.3875,2
0,1,0,24.0,77,263.0,2
0,1,0,28.0,77,263.0,2
0,1,0,23.0,77,263.0,2
0,1,0,60.0,77,263.0,2
0,1,0,30.0,277,56.9292,0
0,1,1,50.0,295,133.65,2
0,1,1,43.0,71,27.7208,0
0,1,0,29.881134512428304,295,133.65,2
0,1,0,22.0,57,49.5,0
0,1,1,60.0,56,79.2,0
0,1,0,48.0,56,79.2,0
0,1,0,35.0,33,53.1,2
0,1,0,35.0,17,211.5,0
0,1,0,22.0,14,59.4,0
0,1,0,45.0,14,59.4,0
0,1,1,49.0,66,89.1042,0
0,1,0,29.881134512428304,66,89.1042,0
0,1,1,53.0,24,28.5,0
0,1,0,19.0,10,30.0,2
0,1,0,58.0,281,153.4625,2
0,1,1,23.0,301,63.3583,0
0,1,0,45.0,301,63.3583,0
0,1,1,25.0,40,55.4417,0
0,1,0,25.0,40,55.4417,0
0,1,1,48.0,280,76.7292,0
0,1,0,49.0,280,76.7292,0
0,1,0,35.0,220,83.475,2
0,1,1,27.0,280,76.7292,0
0,1,1,29.881134512428304,64,30.0,2
0,1,0,24.0,41,83.1583,0
0,1,0,52.0,48,93.5,2
0,1,0,16.0,5,57.9792,0
0,1,0,44.0,5,57.9792,0
0,1,0,51.0,53,77.9583,2
0,1,0,35.0,29,52.0,2
0,1,1,35.0,7,26.55,0
0,1,1,38.0,75,90.0,2
0,0,1,29.881134512428304,288,30.6958,0
0,1,0,35.0,75,90.0,2
0,1,0,38.0,20,80.0,2
0,1,1,49.0,11,0.0,2
0,1,0,29.881134512428304,67,51.8625,2
0,1,1,42.0,38,52.5542,2
0,1,0,45.0,38,52.5542,2
0,1,0,39.0,99,211.3375,2
0,1,0,49.0,68,25.9292,2
0,1,0,30.0,303,106.425,0
0,1,1,35.0,297,512.3292,0
