modelname, h-mape, h-mae, sex-acc, sex-mae, ewa-acc, ew-mae, la-acc, la-mae, q1, q2, q3, q4
spflow_allbus_spn, 0.3018811944634311, 1.1885964912280704, 0.5877192982456141, 0.41228070175438597, 0.31140350877192985, 0.6885964912280702, 0.7916666666666666, 0.20833333333333334, -9654.315595206897, -30450.175376022726, -10912.542598254355, -12170.534411281667
spflow_allbus_mspn, 0.3442131370091901, 1.2206140350877193, 0.5921052631578947, 0.40789473684210525, 0.31140350877192985, 0.6885964912280702, 0.7916666666666666, 0.20833333333333334, -9337.618891769625, -67879.49104242043, -15922.324235641092, -15799.561558826617
mspn_allbus, 0.32002900243031873, 1.1513157894736843, 0.49122807017543857, 0.5087719298245614, 0.6907894736842105, 0.3092105263157895, 0.7916666666666666, 0.20833333333333334, -inf, -10813.51074995679, -inf, -inf
mspn_allbus_threshold, 0.3297163995848207, 1.2192982456140367, 0.5482456140350878, 0.4517543859649123, 0.6842105263157895, 0.3157894736842105, 0.7916666666666666, 0.20833333333333334, -inf, -27131.353971025554, -inf, -inf
mspn_allbus_min_slice, 0.32002900243031873, 1.1513157894736843, 0.49122807017543857, 0.5087719298245614, 0.6907894736842105, 0.3092105263157895, 0.7916666666666666, 0.20833333333333334, -inf, -10813.51074995679, -inf, -inf
allbus_fastiamb, 0.33515632515632426, 1.4076754385964916, 0.6008771929824561, 0.3991228070175439, 0.6134868421052632, 0.38651315789473684, 0.7966008771929824, 0.20339912280701755, -37499.571719606174, -154647.19549268673, -42886.93838144773, -46226.37078339175
allbus_hcaiccg, 0.3282498999234193, 1.4956688596491283, 0.6047149122807017, 0.39528508771929827, 0.6030701754385965, 0.3969298245614035, 0.8053728070175439, 0.19462719298245615, -38318.77160449849, -150031.79297834856, -42942.88745949331, -46887.022557794684
allbus_hcbiccg, 0.3228100475304421, 1.4176535087719297, 0.5844298245614035, 0.4155701754385965, 0.6178728070175439, 0.3821271929824561, 0.7916666666666666, 0.20833333333333334, -37739.10528584851, -159860.87590446352, -42848.04497051491, -46449.470459783995
allbus_iamb, 0.3296411542587525, 1.3762609649122783, 0.6052631578947368, 0.39473684210526316, 0.6178728070175439, 0.3821271929824561, 0.7905701754385965, 0.20942982456140352, -37476.316987708335, -162886.68861515337, -42711.52173358515, -46669.1420139525
allbus_interiamb, 0.31125988899015156, 1.41875, 0.5789473684210527, 0.42105263157894735, 0.612390350877193, 0.38760964912280704, 0.7944078947368421, 0.20559210526315788, -37522.24122537944, -149949.49058674928, -42646.90099949309, -46873.68078674478
allbus_tabuaiccg, 0.32532982155514967, 1.4973684210526328, 0.5805921052631579, 0.4194078947368421, 0.6200657894736842, 0.37993421052631576, 0.7966008771929824, 0.20339912280701755, -37507.80608454904, -135918.7559735776, -42887.12259218922, -46359.26344579059
allbus_tabubiccg, 0.312984643584973, 1.4222587719298263, 0.59375, 0.40625, 0.6321271929824561, 0.3678728070175439, 0.7971491228070176, 0.20285087719298245, -37768.992171159014, -150673.65670445675, -42850.95229390589, -46463.35428950128
GaussianProcessClassifier, 0.19956140350877194, 1.769736842105263, 0.6293859649122807, 0.3706140350877193
MLPClassifier, 0.2236842105263158, 1.3991228070175439, 0.6228070175438597, 0.37719298245614036
KNeighborsClassifier, 0.20833333333333334, 1.730263157894737, 0.6447368421052632, 0.35526315789473684
SVC, 0.34210526315789475, 1.1337719298245614, 0.6337719298245614, 0.36622807017543857
LogisticRegression, 0.33771929824561403, 1.138157894736842, 0.6776315789473685, 0.3223684210526316
