age,sex,educ,income,eastwest,happiness,health,lived_abroad,spectrum
47,0,2,1800,0,9,2,0,2
52,1,2,2000,0,8,2,0,1
61,1,1,2500,1,9,3,0,1
54,0,1,860,1,3,1,1,2
49,1,2,2500,1,7,4,0,1
75,0,2,750,1,9,3,0,1
59,1,4,4500,0,8,3,0,1
65,1,2,880,0,5,2,0,3
61,0,1,3000,1,10,3,1,0
76,1,1,950,0,10,2,0,1
23,1,1,1200,1,10,2,0,0
65,1,1,3300,1,9,2,0,1
54,1,2,1500,0,6,2,1,2
76,1,4,1600,0,10,4,0,0
23,1,2,1800,1,8,3,0,0
36,1,2,2125,1,9,4,0,2
34,0,2,350,1,9,4,1,0
52,0,3,2400,1,9,4,1,1
63,1,2,1050,0,8,1,0,0
61,1,1,2375,1,8,4,0,2
19,1,2,875,1,9,4,0,3
27,1,4,1500,0,9,4,0,0
53,1,2,1000,0,6,3,0,3
25,1,2,1300,1,8,2,0,1
40,0,4,1390,1,9,4,1,1
71,1,3,460,1,6,2,1,1
31,1,3,2375,0,9,4,0,1
48,1,4,3500,1,8,3,1,1
66,0,1,850,1,9,2,0,0
43,1,2,1800,1,4,3,0,3
24,1,4,700,1,9,4,1,1
55,0,2,813,1,8,2,0,1
61,0,3,1500,1,8,3,0,2
48,1,4,6250,1,5,1,0,1
27,1,2,1579,1,8,4,0,1
41,0,2,1100,1,10,4,0,1
39,1,2,1500,0,3,3,0,3
78,1,1,4500,1,10,4,0,0
66,0,4,2000,1,8,2,0,0
40,0,3,1625,0,8,4,0,1
29,1,4,2400,1,9,4,0,0
48,1,4,4000,1,7,0,1,1
40,1,2,1400,0,4,2,0,3
53,1,3,1875,1,9,2,0,0
42,1,2,1100,1,9,2,0,1
47,1,1,2700,1,8,2,0,1
72,1,1,1140,0,5,0,0,2
31,1,4,2200,1,7,2,1,0
88,1,4,3000,1,3,3,0,1
31,1,2,2500,0,10,4,1,1
35,1,2,1650,0,8,3,0,2
69,0,4,2650,1,10,4,0,0
66,0,4,650,1,10,4,0,2
76,1,1,1000,0,9,1,0,1
67,1,4,860,0,6,2,1,3
58,1,1,1100,1,4,2,0,2
68,0,1,400,1,9,3,0,1
25,1,2,1500,1,10,3,0,1
59,1,4,3500,1,9,2,1,2
40,0,2,1300,1,9,2,0,1
30,0,4,1520,0,9,4,0,1
62,0,1,600,1,8,2,0,0
26,1,4,2000,0,9,3,0,1
54,0,2,714,1,3,2,0,2
69,1,4,700,0,6,3,1,3
28,1,4,3000,0,8,4,0,1
83,1,1,1050,1,10,2,0,1
56,0,2,1063,1,10,2,0,2
65,0,2,800,0,4,2,0,0
80,0,1,265,1,8,0,0,1
28,0,3,1800,1,9,4,0,0
51,1,1,1900,1,8,2,0,3
66,0,1,600,1,8,3,0,0
58,1,1,1650,1,8,2,0,0
