age,sex,educ,income,eastwest,happiness,health,lived_abroad
47,0,3,1800,0,9,3,0
52,1,3,2000,0,8,3,0
61,1,2,2500,1,9,4,0
54,0,2,860,1,3,2,1
49,1,3,2500,1,7,5,0
75,0,3,750,1,9,4,0
59,1,5,4500,0,8,4,0
65,1,3,880,0,5,3,0
61,0,2,3000,1,10,4,1
76,1,2,950,0,10,3,0
23,1,2,1200,1,10,3,0
65,1,2,3300,1,9,3,0
54,1,3,1500,0,6,3,1
76,1,5,1600,0,10,5,0
23,1,3,1800,1,8,4,0
36,1,3,2125,1,9,5,0
34,0,3,350,1,9,5,1
52,0,4,2400,1,9,5,1
63,1,3,1050,0,8,2,0
61,1,2,2375,1,8,5,0
19,1,3,875,1,9,5,0
27,1,5,1500,0,9,5,0
53,1,3,1000,0,6,4,0
25,1,3,1300,1,8,3,0
40,0,5,1390,1,9,5,1
71,1,4,460,1,6,3,1
31,1,4,2375,0,9,5,0
48,1,5,3500,1,8,4,1
66,0,2,850,1,9,3,0
43,1,3,1800,1,4,4,0
24,1,5,700,1,9,5,1
55,0,3,813,1,8,3,0
61,0,4,1500,1,8,4,0
48,1,5,6250,1,5,2,0
27,1,3,1579,1,8,5,0
41,0,3,1100,1,10,5,0
39,1,3,1500,0,3,4,0
78,1,2,4500,1,10,5,0
66,0,5,2000,1,8,3,0
40,0,4,1625,0,8,5,0
29,1,5,2400,1,9,5,0
48,1,5,4000,1,7,1,1
40,1,3,1400,0,4,3,0
53,1,4,1875,1,9,3,0
42,1,3,1100,1,9,3,0
47,1,2,2700,1,8,3,0
72,1,2,1140,0,5,1,0
31,1,5,2200,1,7,3,1
88,1,5,3000,1,3,4,0
31,1,3,2500,0,10,5,1
35,1,3,1650,0,8,4,0
69,0,5,2650,1,10,5,0
66,0,5,650,1,10,5,0
76,1,2,1000,0,9,2,0
67,1,5,860,0,6,3,1
58,1,2,1100,1,4,3,0
68,0,2,400,1,9,4,0
25,1,3,1500,1,10,4,0
59,1,5,3500,1,9,3,1
40,0,3,1300,1,9,3,0
30,0,5,1520,0,9,5,0
62,0,2,600,1,8,3,0
26,1,5,2000,0,9,4,0
54,0,3,714,1,3,3,0
69,1,5,700,0,6,4,1
28,1,5,3000,0,8,5,0
83,1,2,1050,1,10,3,0
56,0,3,1063,1,10,3,0
65,0,3,800,0,4,3,0
80,0,2,265,1,8,1,0
28,0,4,1800,1,9,5,0
51,1,2,1900,1,8,3,0
66,0,2,600,1,8,4,0
58,1,2,1650,1,8,3,0
73,1,2,1063,0,5,4,0
56,0,3,940,0,4,2,0
