pclass,survived,sex,age,sibsp,parch,ticket,fare,embarked,boat,has_cabin_number
1,1,female,29,0,0,24160,211.3375,S,2,1
1,1,male,0.9167,1,2,113781,151.55,S,11,1
1,1,male,48,0,0,19952,26.55,S,3,1
1,1,female,63,1,0,13502,77.9583,S,10,1
1,1,female,53,2,0,11769,51.4792,S,D,1
1,1,female,18,1,0,PC 17757,227.525,C,4,1
1,1,female,24,0,0,PC 17477,69.3,C,9,1
1,1,female,26,0,0,19877,78.85,S,6,0
1,1,male,80,0,0,27042,30,S,B,1
1,1,female,50,0,1,PC 17558,247.5208,C,6,1
1,1,female,32,0,0,11813,76.2917,C,8,1
1,0,male,36,0,0,13050,75.2417,C,A,1
1,1,male,37,1,1,11751,52.5542,S,5,1
1,1,female,47,1,1,11751,52.5542,S,5,1
1,1,male,26,0,0,111369,30,C,5,1
1,1,female,42,0,0,PC 17757,227.525,C,4,0
1,1,female,29,0,0,PC 17483,221.7792,S,8,1
1,1,male,25,1,0,11967,91.0792,C,7,1
1,1,female,19,1,0,11967,91.0792,C,7,1
1,1,female,35,0,0,PC 17760,135.6333,S,8,1
1,1,male,28,0,0,110564,26.55,S,D,1
1,1,male,40,0,0,112277,31,C,7,1
1,1,female,30,0,0,36928,164.8667,S,8,1
1,1,female,58,0,0,113783,26.55,S,8,1
1,1,female,45,0,0,PC 17608,262.375,C,4,0
1,1,female,22,0,1,113505,55,S,6,1
1,1,male,29.8811345124283,0,0,111427,26.55,S,9,0
1,1,female,44,0,0,PC 17610,27.7208,C,6,1
1,1,female,59,2,0,11769,51.4792,S,D,1
1,1,female,60,0,0,11813,76.2917,C,8,1
1,1,female,41,0,0,16966,134.5,C,3,1
1,1,male,42,0,0,PC 17476,26.2875,S,5,1
1,1,female,53,0,0,PC 17606,27.4458,C,6,0
1,1,male,36,0,1,PC 17755,512.3292,C,3,1
1,1,female,58,0,1,PC 17755,512.3292,C,3,1
1,1,male,11,1,2,113760,120,S,4,1
1,1,female,14,1,2,113760,120,S,4,1
1,1,male,36,1,2,113760,120,S,C,1
1,1,female,36,1,2,113760,120,S,4,1
1,1,female,29.8811345124283,0,0,17770,27.7208,C,5,0
1,1,female,76,1,0,19877,78.85,S,6,1
1,1,female,47,1,0,W.E.P. 5734,61.175,S,4,1
1,1,male,27,1,0,113806,53.1,S,5,1
1,1,female,33,1,0,113806,53.1,S,5,1
1,1,female,36,0,0,PC 17608,262.375,C,4,1
1,1,female,30,0,0,110152,86.5,S,8,1
