pclass,survived,sex,age,ticket,fare,embarked,boat,has_cabin_number
0,1,0,26,99,211.3375,2,11,1
0,1,1,5,25,151.55,2,2,1
0,1,1,49,78,26.55,2,12,1
0,1,0,64,53,77.9583,2,1,1
0,1,0,55,42,51.4792,2,26,1
0,1,0,14,299,227.525,0,13,1
0,1,0,21,274,69.3,0,21,1
0,1,0,23,73,78.85,2,17,0
0,1,1,69,138,30.0,2,23,1
0,1,0,52,278,247.5208,0,17,1
0,1,0,31,46,76.2917,0,19,1
0,0,1,36,49,75.2417,0,22,1
0,1,1,38,36,52.5542,2,14,1
0,1,0,48,36,52.5542,2,14,1
0,1,1,23,6,30.0,0,14,1
0,1,0,44,299,227.525,0,13,0
0,1,0,26,276,221.7792,2,19,1
0,1,1,22,47,91.0792,0,18,1
0,1,0,15,47,91.0792,0,18,1
0,1,0,35,302,135.6333,2,19,1
0,1,1,25,2,26.55,2,26,1
0,1,1,42,12,31.0,0,18,1
0,1,0,29,218,164.8667,2,19,1
0,1,0,59,26,26.55,2,19,1
0,1,0,47,293,262.375,0,13,0
0,1,0,19,18,55.0,2,17,1
0,1,1,27,8,26.55,2,21,0
0,1,0,46,294,27.7208,0,17,1
0,1,0,60,42,51.4792,2,26,1
0,1,0,62,46,76.2917,0,19,1
0,1,0,43,63,134.5,0,12,1
0,1,1,44,273,26.2875,2,14,1
0,1,0,55,291,27.4458,0,17,0
0,1,1,36,297,512.3292,0,12,1
0,1,0,59,297,512.3292,0,12,1
0,1,1,7,21,120.0,2,13,1
0,1,0,10,21,120.0,2,13,1
0,1,1,36,21,120.0,2,24,1
0,1,0,36,21,120.0,2,13,1
0,1,0,27,72,27.7208,0,14,0
0,1,0,67,73,78.85,2,17,1
0,1,0,48,332,61.175,2,13,1
0,1,1,24,35,53.1,2,14,1
0,1,0,33,35,53.1,2,14,1
0,1,0,36,293,262.375,0,13,1
0,1,0,29,0,86.5,2,19,1
0,1,1,47,284,29.7,0,18,1
0,1,0,27,18,55.0,2,17,1
0,1,0,23,55,136.7792,0,13,1
0,1,0,19,25,151.55,2,2,0
0,1,0,40,298,83.1583,0,7,1
0,1,0,65,298,83.1583,0,7,1
0,1,0,57,43,25.7,2,11,1
0,1,0,36,333,71.0,2,18,1
0,1,0,65,15,26.55,2,18,1
0,1,0,39,287,71.2833,0,13,1
0,1,1,53,16,26.55,2,16,1
0,1,1,24,34,30.5,2,12,0
0,1,0,33,25,151.55,2,19,0
0,1,0,24,263,52.0,2,12,1
0,1,1,30,70,57.0,2,12,1
0,1,0,13,70,57.0,2,12,1
0,1,1,55,171,81.8583,2,4,1
0,1,1,41,171,81.8583,2,14,1
0,1,0,56,171,81.8583,2,14,1
0,1,0,24,278,247.5208,0,17,1
0,1,0,49,303,106.425,0,11,1
0,1,0,49,39,39.6,0,0,1
0,1,1,50,277,56.9292,0,0,1
0,1,0,20,41,83.1583,0,18,1
0,1,0,39,299,227.525,0,13,1
0,1,0,56,219,78.2667,0,13,1
0,1,0,27,286,31.6833,2,18,0
0,1,0,27,65,110.8833,0,13,0
0,1,1,36,271,26.3875,2,14,1
